#_U001_trueComplete:125.0
#_U002_trueComplete:100.0
#_U003_trueComplete:80.0
#_U004_trueComplete:100.0
#_U005_trueComplete:100.0
#_U006_trueComplete:3.33
#_U007_trueComplete:100.0
#_U008_trueComplete:0.0
#_U009_trueComplete:106.67
#_U010_trueComplete:150.0
Program,Date,Percent Complete (Observations),Total Obs Requested
_U001,2024-08-01,0.0,20
_U001,2024-08-01,0.0,20
_U001,2024-08-01,0.0,20
_U001,2024-08-01,0.0,20
_U001,2024-08-02,0.0,20
_U001,2024-08-02,0.0,20
_U001,2024-08-02,0.0,20
_U001,2024-08-02,0.0,20
_U001,2024-08-03,0.0,20
_U001,2024-08-03,0.0,20
_U001,2024-08-03,5.0,20
_U001,2024-08-03,5.0,20
_U001,2024-08-04,5.0,20
_U001,2024-08-04,5.0,20
_U001,2024-08-04,5.0,20
_U001,2024-08-04,5.0,20
_U001,2024-08-05,5.0,20
_U001,2024-08-05,5.0,20
_U001,2024-08-05,5.0,20
_U001,2024-08-05,5.0,20
_U001,2024-08-06,5.0,20
_U001,2024-08-06,5.0,20
_U001,2024-08-06,5.0,20
_U001,2024-08-06,5.0,20
_U001,2024-08-07,5.0,20
_U001,2024-08-07,5.0,20
_U001,2024-08-07,5.0,20
_U001,2024-08-07,5.0,20
_U001,2024-08-08,5.0,20
_U001,2024-08-08,5.0,20
_U001,2024-08-08,5.0,20
_U001,2024-08-08,5.0,20
_U001,2024-08-09,5.0,20
_U001,2024-08-09,5.0,20
_U001,2024-08-09,5.0,20
_U001,2024-08-09,5.0,20
_U001,2024-08-10,5.0,20
_U001,2024-08-10,5.0,20
_U001,2024-08-10,5.0,20
_U001,2024-08-10,5.0,20
_U001,2024-08-11,5.0,20
_U001,2024-08-11,5.0,20
_U001,2024-08-11,5.0,20
_U001,2024-08-11,10.0,20
_U001,2024-08-12,10.0,20
_U001,2024-08-12,10.0,20
_U001,2024-08-12,10.0,20
_U001,2024-08-12,10.0,20
_U001,2024-08-13,10.0,20
_U001,2024-08-13,10.0,20
_U001,2024-08-13,10.0,20
_U001,2024-08-13,10.0,20
_U001,2024-08-14,10.0,20
_U001,2024-08-14,10.0,20
_U001,2024-08-14,10.0,20
_U001,2024-08-14,10.0,20
_U001,2024-08-15,10.0,20
_U001,2024-08-15,15.0,20
_U001,2024-08-15,15.0,20
_U001,2024-08-15,15.0,20
_U001,2024-08-16,15.0,20
_U001,2024-08-16,15.0,20
_U001,2024-08-16,15.0,20
_U001,2024-08-16,15.0,20
_U001,2024-08-17,15.0,20
_U001,2024-08-17,15.0,20
_U001,2024-08-17,20.0,20
_U001,2024-08-17,20.0,20
_U001,2024-08-18,20.0,20
_U001,2024-08-18,20.0,20
_U001,2024-08-18,20.0,20
_U001,2024-08-18,20.0,20
_U001,2024-08-19,20.0,20
_U001,2024-08-19,20.0,20
_U001,2024-08-19,20.0,20
_U001,2024-08-19,20.0,20
_U001,2024-08-20,20.0,20
_U001,2024-08-20,20.0,20
_U001,2024-08-20,20.0,20
_U001,2024-08-20,20.0,20
_U001,2024-08-21,20.0,20
_U001,2024-08-21,20.0,20
_U001,2024-08-21,20.0,20
_U001,2024-08-21,20.0,20
_U001,2024-08-22,20.0,20
_U001,2024-08-22,20.0,20
_U001,2024-08-22,20.0,20
_U001,2024-08-22,20.0,20
_U001,2024-08-23,20.0,20
_U001,2024-08-23,20.0,20
_U001,2024-08-23,20.0,20
_U001,2024-08-23,20.0,20
_U001,2024-08-24,20.0,20
_U001,2024-08-24,20.0,20
_U001,2024-08-24,20.0,20
_U001,2024-08-24,20.0,20
_U001,2024-08-25,20.0,20
